adc0,adc1,adc2,adc3,sonar0,sonar1,sonar2,sonar3,speed,turn
0,0,0,0.033333333333333326,0.8925,0.8925,0.8925,0.8175,0.620833,0.429167
0,0,0,0,0.63,0.63,0.63,0.8049999999999999,0.620833,0.475
0,0,0,0,0.5925,0.5925,0.5925,0,0.620833,0.5
0,0,0,0,0.5700000000000001,0.5700000000000001,0.5700000000000001,0,0.620833,0.5375
0,0,0,0,0.5375,0.5375,0.5375,0.8075,0.620833,0.6125
0,0,0,0,0.47250000000000003,0.47250000000000003,0.47250000000000003,0,0.620833,0.6375
0,0,0,0,0.4525,0.4525,0.4525,0,0.620833,0.691667
0,0,0,0,0.405,0.405,0.405,0,0.620833,0
0,0,0,0,0.6275,0.6174999999999999,0.8625,0.7925,0.620833,0
0,0,0,0,0.73,0.75,0.8575,0.78,0.629167,0
0,0,0,0,0.755,0.7625,0.8525,0.6525000000000001,0.6375,-0.208333
0.43333333333333335,0,0,0,0.6425000000000001,0.635,0.8425,0.6625,0.6375,0
0,0,0,0,0.6125,0.6074999999999999,0.84,0.6699999999999999,0.641667,0
0,0,0,0,0.64,0.625,0.8325,0.6975,0.641667,-0.225
0,0,0,0,0.6925,0.8049999999999999,0.8375,0.7125,0.641667,0
0,0,0,0,0.7175,0.655,0.8525,0.69,0.645833,0
0,0,0,0,0.7775,0.725,0.8525,0.8325,0.645833,0
0,0,0,0,0.7475,0.725,0.8525,0.785,0.645833,0.0625
0,0,0,0,0.9475,0.9475,0.9475,0.6699999999999999,0.645833,-0.125
0,0,0,0,0.9475,0.9475,0.9475,0.7875,0.645833,-0.208333
0,0,0,0,0.7625,0.6125,0.85,0.8025,0.645833,-0.245833
0,0,0,0,0.7375,0,0.8275,0.8525,0.645833,0
0,0.2666666666666667,0,0,0.22999999999999998,0.525,0.775,0.92,0.645833,0
0,0,0,0,0.5475,0,0.7575000000000001,0.735,0.666667,0
0,0,0,0.23333333333333328,0.6575,0,0.7625,0.73,0.65,0
0.5666666666666667,0,0,0,0.5800000000000001,0.735,0.7575000000000001,0.8125,0.666667,0.1875
0,0,0,0,0.84,0.84,0.84,0,0.666667,0.1875
0,0,0,0,0.6875,0.63,0.41500000000000004,0.9,0.670833,0
0,0,0,0,0.7050000000000001,0.6475,0.6675,0.9,0.670833,-0.120833
0,0,0,0,0.7175,0.74,0.7725,0.79,0.670833,-0.120833
0,0,0,0,0.46499999999999997,0.74,0.685,0.91,0.670833,0
0,0,0,0,0.2925,0.6975,0.7025,0.9175,0.670833,0.00833321
0,0,0,0.30000000000000004,0,0,0,0.81,0.670833,0
0,0,0,0,0.64,0.47250000000000003,0.755,0.8075,0.675,-0.116667
0,0,0,0,0.4175,0.7625,0.7525,0.8049999999999999,0.675,-0.175
0,0,0,0,0.735,0.7375,0.77,0.8175,0.675,0
0,0,0,0,0.29500000000000004,0.55,0.7975,0.8125,0.675,0.0916666
0,0,0,0,0.9225,0.9225,0.9225,0.8125,0.675,-0.125
0.2666666666666667,0,0,0,0.625,0.6375,0.8200000000000001,0,0.675,-0.179167
0.8333333333333334,0,0,0,0.7975,0.6599999999999999,0.65,0.8,0.675,-0.179167
0,0,0,0,0.755,0.7,0.835,0.6675,0.675,-0.179167
0,0,0,0,0.7175,0.7075,0.895,0.72,0.675,-0.279167
0,0,0,0,0.5974999999999999,0.71,0.85,0.675,0.675,-0.275
0,0,0,0,0.5549999999999999,0.7324999999999999,0.845,0.735,0.675,0
0,0,0.06666666666666665,0,0.6174999999999999,0.69,0.8375,0.5825,0.679167,0
0,0,0,0,0.7424999999999999,0.6599999999999999,0.835,0.74,0.679167,0
0,0,0,0,0.77,0.785,0.8625,0.815,0.679167,0
0,0,0,0,0.71,0.7,0.815,0.78,0.679167,-0.0166668
0,0,0,0,0.73,0.725,0.8275,0.72,0.679167,-0.2
0.33333333333333337,0,0,0,0.7375,0.73,0.83,0.765,0.679167,-0.270833
0.7333333333333334,0,0,0,0.745,0.735,0.8875,0.735,0.679167,-0.225
0,0,0,0,0.7775,0.77,0.895,0.9025,0.679167,0
0,0,0,0.06666666666666665,0.7725,0.745,0.81,0.9125,0.679167,0
0,0,0,0,0.8325,0.845,0.8075,0.815,0,0
0,0,0,0,0.865,0.86,0.815,0.8225,0,0
0,0,0,0,0.8625,0.8575,0.8049999999999999,0.825,0,0.0166666
0,0,0,0,0,0,0,0.7575000000000001,0,0.108333
0,0,0,0,0.9075,0.9075,0.9075,0.94,0,0.266667
0,0,0,0,0.7725,0.7725,0.7725,0.735,0,0.345833
0,0,0,0,0.7025,0.7025,0.7025,0.75,0,0.379167
0,0,0,0,0.675,0.675,0.675,0,0.258333,0.3875
0,0,0,0,0.6675,0.6675,0.6675,0.75,0.258333,0.395833
0,0,0,0,0.6599999999999999,0.6599999999999999,0.6599999999999999,0.755,0.433333,0.408333
0,0,0,0,0.65,0.65,0.65,0,0.433333,0.416667
0,0,0,0,0.6425000000000001,0.6425000000000001,0.6425000000000001,0.75,0.433333,0.429167
0,0,0,0,0.63,0.63,0.63,0,0.420833,0.45
0,0,0,0,0.6125,0.6125,0.6125,0.7525,0.4125,0.45
0,0,0,0,0.6125,0.6125,0.6125,0.755,0.404167,0.4625
0,0,0,0,0.6025,0.6025,0.6025,0,0.395833,0.466667
0,0,0,0,0.6,0.6,0.6,0,0.383333,0.479167
0,0,0,0,0.5875,0.5875,0.5875,0,0.329167,0.4875
0,0,0,0,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.775,0.2125,0
0.16666666666666663,0,0,0,0.965,0.965,0.965,0.7675,0.1375,0
0.4666666666666667,0,0,0,0.895,0.9175,0.8674999999999999,0.8775,0.0666668,0
0.5,0,0,0,0.895,0.9175,0.8725,0.875,0.0125,0
0.5333333333333333,0,0,0,0.895,0.9175,0.87,0.875,-0.0416666,0
0.5333333333333333,0,0,0,0.8975,0.92,0.87,0.88,-0.0875,0
0.5333333333333333,0,0,0,0.8975,0.92,0.8725,0.875,-0.108333,0
0.5333333333333333,0,0,0,0.895,0.92,0.87,0.875,-0.125,0
0.4666666666666667,0,0,0,0.9175,0.955,0.835,0.7875,-0.1375,0
0.5,0,0,0,0.9175,0.9125,0.865,0.8775,-0.15,0
0.5,0,0,0,0.915,0.945,0.8625,0.905,-0.166667,0
0.43333333333333335,0,0,0,0.8925,0.91,0.87,0.875,-0.175,0
0.3666666666666667,0,0,0,0.88,0.9125,0.8275,0.8025,-0.225,0
0.2666666666666667,0,0,0,0.8825000000000001,0.885,0.835,0.7725,-0.266667,0
0,0,0,0,0.9025,0.905,0.8275,0.8525,-0.283333,-0.179167
0,0,0,0,0.9,0.9,0.8525,0.8625,-0.283333,-0.341667
0,0,0,0,0.8975,0.895,0.845,0.8575,-0.283333,-0.391667
0,0,0,0,0.895,0.895,0.8425,0.87,-0.283333,-0.4125
0,0,0,0,0.89,0.89,0.8375,0.845,-0.283333,-0.445833
0,0,0,0,0.89,0.8875,0.8,0.8049999999999999,-0.283333,-0.4625
0,0,0,0,0.8825000000000001,0.95,0.8325,0.8125,-0.283333,-0.475
0,0,0,0,0.84,0.8525,0.8049999999999999,0.8,-0.2,-0.479167
0,0,0,0,0.8625,0.8625,0.8025,0.9475,-0.279167,-0.479167
0,0,0,0,0.8275,0.8475,0.7975,0.815,-0.191667,-0.479167
0,0,0,0,0.84,0.8425,0.8025,0.8375,-0.179167,-0.479167
0.1333333333333333,0,0,0,0.8225,0.84,0.8025,0.72,-0.175,-0.479167
0,0,0,0,0.8375,0.8375,0.8049999999999999,0.8049999999999999,-0.170833,-0.479167
0.06666666666666665,0,0,0,0.8275,0.835,0.7975,0.7875,-0.166667,-0.479167
0.4,0,0,0,0.825,0.8325,0.8075,0.8025,-0.129167,-0.479167
0.06666666666666665,0,0,0,0.83,0.8325,0.8049999999999999,0.7875,-0.0916666,-0.479167
0.06666666666666665,0,0,0,0.8275,0.8275,0.8,0.7925,-0.075,-0.479167
0,0,0,0,0.8225,0.8275,0.7975,0.7875,0,-0.479167
0.06666666666666665,0,0,0,0.8075,0.85,0.85,0.8925,0.0416668,-0.479167
0.4,0,0,0,0.8125,0.8275,0.8049999999999999,0.7825,0.075,0.475
0,0,0,0,0.5925,0.5925,0.5925,0,0.0875,0.479167
0.033333333333333326,0,0,0,0.5875,0.5875,0.5875,0,0.0958334,0.479167
0.33333333333333337,0,0,0,0.5875,0.5875,0.5875,0,0.1125,0.483333
0.4,0,0,0,0.585,0.585,0.585,0.765,0.116667,0.491667
0,0,0,0,0.5775,0.5775,0.5775,0.7925,0.116667,0.5125
0.06666666666666665,0,0,0,0.56,0.56,0.56,0.815,0.116667,0.525
0.23333333333333328,0,0,0,0.5475,0.5475,0.5475,0.8,0.116667,0.570833
0,0,0,0,0.51,0.51,0.51,0.7025,0.116667,0.591667
0.16666666666666663,0,0,0,0.49,0.49,0.49,0.745,0.120833,0.591667
0,0,0,0,0.49,0.49,0.49,0.8049999999999999,0.120833,0.591667
0,0,0,0,0.49,0.49,0.49,0.73,-0.00833321,0.591667
0.23333333333333328,0,0,0,0.49,0.49,0.49,0.6975,-0.0958332,0.591667
0.16666666666666663,0,0,0,0.49,0.49,0.49,0,-0.125,-0.595833
0.23333333333333328,0,0,0,0.8325,0.8325,0.8325,0.6225,-0.1375,-0.6
0,0,0,0,0.815,0.8200000000000001,0.8,0.7675,-0.141667,-0.616667
0,0,0,0,0.8125,0.8225,0.795,0.765,-0.145833,-0.6375
0,0,0,0,0.8125,0.8175,0.8025,0.71,-0.15,-0.641667
0.06666666666666665,0,0,0,0.815,0.8125,0.8075,0.7925,-0.141667,-0.629167
0.1333333333333333,0,0,0,0.7925,0.8200000000000001,0.775,0.7025,-0.145833,-0.641667
0,0,0,0,0.8125,0.8125,0.78,0.7075,-0.154167,-0.641667
0,0,0,0,0.8175,0.8175,0.7875,0.7675,-0.166667,-0.65
0,0,0,0,0.8175,0.8175,0.8,0.7525,-0.195833,-0.6625
0,0,0,0,0.815,0.8175,0.8025,0.7675,-0.204167,-0.670833
0,0,0,0,0.8175,0.8175,0.8025,0.785,-0.2125,-0.679167
0,0,0,0,0.8125,0.8175,0.8,0.775,-0.2125,-0.691667
0,0,0,0,0.8075,0.8125,0.7975,0.795,-0.2125,-0.716667
0,0,0,0,0.8075,0.8175,0.7725,0.775,-0.2125,-0.729167
0,0,0,0,0.8049999999999999,0.8125,0.7875,0.7725,-0.2125,-0.7625
0,0,0,0,0.7825,0.8075,0.7675,0.775,-0.2125,-0.770833
0,0,0,0,0.78,0.8075,0.79,0.8125,-0.216667,-0.770833
